内蒙古自治区的土地利用情况,内蒙古自治区的土地利用情况,内蒙古自治区的土地利用情况,内蒙古自治区的土地利用情况,内蒙古自治区的土地利用情况,内蒙古自治区的土地利用情况
年份,草地,荒地或稀疏植被,耕地,林木稀树草原,其他
2001,58.47%,24.78%,5.59%,5.40%,5.75%
2002,58.69%,24.29%,5.76%,5.44%,5.82%
2003,58.73%,24.04%,5.80%,5.67%,5.77%
2004,58.47%,24.05%,5.70%,5.59%,6.19%
2005,58.44%,24.05%,5.59%,5.54%,6.37%
2006,58.66%,23.93%,5.46%,5.59%,6.37%
2007,58.88%,23.72%,5.32%,5.57%,6.51%
2008,58.75%,23.64%,5.40%,5.60%,6.61%
2009,58.58%,23.63%,5.36%,5.28%,7.15%
2010,58.34%,23.58%,5.45%,5.04%,7.59%
2011,58.22%,23.48%,5.55%,5.09%,7.65%
2012,58.05%,23.38%,5.71%,5.27%,7.59%
2013,57.69%,23.36%,5.84%,5.13%,7.97%
2014,57.48%,23.41%,5.99%,5.08%,8.04%
2015,57.32%,23.43%,6.16%,5.06%,8.03%
2016,57.19%,23.41%,6.31%,5.11%,7.98%
2017,57.30%,23.44%,6.26%,5.22%,7.78%
2018,57.68%,23.13%,6.42%,5.29%,7.48%
2019,58.19%,22.98%,6.44%,5.57%,6.82%
2020,58.14%,22.96%,6.38%,5.81%,6.71%
