西藏自治区的土地利用情况,西藏自治区的土地利用情况,西藏自治区的土地利用情况,西藏自治区的土地利用情况,西藏自治区的土地利用情况,西藏自治区的土地利用情况
年份,草地,荒地或稀疏植被,常绿阔叶林,常绿针叶林,其他
2001,52.37%,35.88%,2.64%,2.00%,7.11%
2002,52.66%,35.69%,2.64%,2.00%,7.02%
2003,53.02%,35.35%,2.64%,1.96%,7.04%
2004,53.27%,35.10%,2.64%,1.94%,7.06%
2005,53.46%,34.92%,2.63%,1.91%,7.08%
2006,53.56%,34.81%,2.63%,1.89%,7.12%
2007,53.68%,34.70%,2.63%,1.87%,7.13%
2008,53.68%,34.68%,2.62%,1.88%,7.13%
2009,53.75%,34.62%,2.61%,1.89%,7.14%
2010,53.71%,34.58%,2.61%,1.88%,7.22%
2011,53.69%,34.52%,2.60%,1.87%,7.32%
2012,53.64%,34.47%,2.59%,1.87%,7.42%
2013,53.70%,34.46%,2.59%,1.89%,7.36%
2014,53.64%,34.50%,2.59%,1.91%,7.36%
2015,53.61%,34.51%,2.58%,1.89%,7.40%
2016,53.59%,34.49%,2.58%,1.88%,7.46%
2017,53.73%,34.24%,2.58%,1.93%,7.52%
2018,53.72%,34.14%,2.57%,2.01%,7.56%
2019,52.97%,34.68%,2.56%,1.98%,7.80%
2020,52.95%,34.79%,2.58%,2.02%,7.67%
